Comment,FilePrefix
흑화 엔프피 특징 인터넷 싸움 개 자기 사상 이해 빻 말 사람 수 시비 무서움 인터넷 잘만 함 컴 플레인 은근 인터넷 컴 플레인 좀 이건 막 함 오프라인 이면 번 정도 참고 이건 컴 플레인 감 때 말 저희 표정 절때 죄송 사람 함 동시 함 인간관계 애증 관계 임 분파 진짜 분파 자기혐오 좀 매일 남 생각 함 뒷담화 거나 한적 이건 엔프피 이상향 데 그게 충족 때 불만 표 흑화 상태 뒷담화 변질 자기 그게 말 데 타인 듣기 뒷담화 거지 자기 스스로 엔프피 생각 함 늘 생각 함 자기 자기 조차 때 때 유튜브 엠비티아이 영상 때 엔프피성향 자기 때 나 진짜 엔프피 의심 나중 의심 극 달 때 검사 다시 감 때 결과 늘 엔프 피임 인생 바 부정 말 자주 이유 해 긍정 엔프피 자신 이상향 때 거임 점점 흑화 를 를 선택 감정 내 감정 공감 위로 사람 사랑 사람 보이 점점 감정 죽 어감 내 선의 호의 해주 데 왜 그대로 대해 주지 망정 왜 날 이유 왜 날 내 뭐 엔프피 가장 건 이유 자신 거임 이유 누군가 자신 왜 자기 자신 잘못 사람 자기 다시 쭉 자기 엔프피 사람 모두 날 내 모두 만약 누가 날 이유 그냥 무조건 거임 이제 흑화 엔프피 거임,ENFP
속마음 얘기 진짜 안함 누가 엔프피 집 표현 대문 활짝 마당 수 거기 더 집 수 안방 진짜 이중 삼중 진,ENFP
엔프피 은 거의 근본 시험 어디 담 함 여행 맛집 문 에이 더 집 가라 의미 즉흥 맛 함,ENFP
사실 어 두운 면도 손 절치 마음속 상처 주장 인간 비타민 나름 진짜 위로,ENFP
인프핀데 엔프피 진짜 개 사람 도 친 수 움 여기,ENFP
뭘 시작 제대로 항상 의욕 시도 싫증 그게 바로,ENFP
인 중 중 인 나,ENFP
상처 사람 인관 관계 중요시 성격 수 을 경우 사람 상처 말 내 말 상대방 얼마나 상처 진심 상종 사람 라면 성격 뭐 하자 내 사람 건 용납 눈치 존나 상대방 실망 일부러 척 함 내 의견 남 의견 주로 따름 상상 함 밖 누구 사람 교류 집 독립 적임 은근 밖 낙관 주의 형상 장난 누 사람 아예 사람 취급 함 모진 말 대신 방법 듯 웃음 일이 티 꼭 일이 아무 그냥 자기 함 일 즉흥 적임 막상 은근 낯가림 담 대화 주제 걸 바꿈 남 상처 거 대한 죄책감 사람 데이 상처 남 못 믿음 자기 바운더 리가 전체 진심 신뢰 사람 한번 바운 안 걸 상대 남 유죄 인간 소리 봄 내 생각 행동 날 날 다짐 그거 심일 초임 개 극혐 사람 뭘 존나 집 고 항상 보이 생각 남 생각 함 관종 티 내면 사람 티 자기 분야 승부 욕 애교 자기 분야 말 상대방 얘기 나중 상처 감당 정도 순식간 다른사람 행동 함 엔프피 말 그거 최소 고민 말 건거임 이론 실전 임 몸 관찰 얘기 때 상대방 눈색 속눈썹 얼마나 긴지 봄 궁금증 임 엔프피 대가리 꽃밭 실제 두뇌 회전 노력 취미 재능 평균 이상 때 엔프피 말 상대방 만해 말문 입안 상대방 상처 말 차마 입 임 정 정 사람 때 존나 포로 상대방 상처 신경안 땐 머리 존나 굴려 논리 하나 하나 반박 함 자기 자기 속마음 딜 상처 선 은근 자격지심 인간관계 엔프피 특징 속 온갖 상처 내 뜻 면 상처 금방 자기 계속 거티브 다른사람 피해 상처 최대한 더 이상 자리 상자 꾹꾹 더 이상 압박 상자 폭발 앞뒤 진짜 큰일 날수 엔프피들 좀,ENFP
말 애 날 대해 사람 비밀 약점 입 개 무거워 말 진짜 선 흑화 때 비장 무기 한번,ENFP
엔프피들 기적 일 관련 영상 정 주행 정 주행 후 영상 댓글 댓글 창 댓글 하나 하나 보고 공감 댓글 거의 공감 손가락 정도 댓글 창 급 타 영상 금방 다시 구경 함 피로 한계 점 제 폰 상상 나래 반복,ENFP
사람 걱정 실제 생각 함,ENFP
누구 수 성향 성격 가지 생각 다른 엠비티아이 주변 듯 상처 이세,ENFP
화 상대,ENFP
뭔가 형용 수 사람 거름 나 나중 꼭,ENFP
상대 엔프피 맘 행동 엔프피 뭐 쟤 좀 별로 잠시 뒤 엔프피 상대 호의 줌 엔프피 뭐 쟤 애 사람,ENFP
숙제 합리 직전 완성,ENFP
마음 해도 대해 걸 신경 안 계속 말 거 고마움 내 말 끝 경청 거 고마움 칭찬 고마움 나 고마움 등등 때문 처음 엔프피 첫사랑,ENFP
대가리 꽃밭 말 진짜 게 뭐 면 대가리 꽃밭 소리 꽃밭 생각 함,ENFP
척 길가 다가 하늘 기분 학원 가야 짐 충 구매 진짜 가끔 혼자 시간 눈치 척 함 혼자 친한친구 관종 자기 향 착각 함 친구 말 자기 외향 망상 함 친구 말 몇 마디 생각 함 혼자 부들부들 거리 면서 복수 망상 우튭보면 친구 스토리 카톡 프사 나 사진 기분 남 기분 거 말 안함 티 남 밤 벽감 일 친구 상담 망상 떰 분위기 메이커 톡 움 반응 누군가 반응 안심 감 인 사이 끼 쭈글 댓 망상 함 생각 생각 진짜 함 남 상처 정 줌 틀 거,ENFP
엔뿌삐 속마음 이야기 안함 만약 엔뿌삐 고민 사람 매우 만약 놀이 자신 사실 기억 사람 마음 벽 겉 티 안남 약속 하루 하루 함 혼자 시간 무조건 필요 화가 자고 기억 미화 사람 다툼 평화 지킴 관심 사랑 함 이모티콘,ENFP
잇프피 엔프피 항상 가끔 어디가 웃음 포 인 사람 이건 외향 뭔가 분위기 메이커,ENFP
엔프피 우울 극복 과정 기분 처지 막 눈물 남 유튜브 노래 좀 너 무 신 나,ENFP
흑화 말 정 사람 평소 공감 활용 눈썰미 팩폭 조지,ENFP
회수 아무 타임 라인 존나 엔프피특 난 거 감탄,ENFP
리액션 하나 엔프피 왕 식당 음식 때 대박 리액션 칭찬 적,ENFP
엔프피 인 중 임 끼리 때 엔프피 기 제일 고 지침,ENFP
엔프피 말 말 순위 소리 밤 계속 다음 날 좀 쭈 굴거리 면서,ENFP
진짜 엔프피들 공감 진짜 속마음 털 친구 약간 느낌 연락 안함 반응 별로 짐 감정 기복 거의 자이로드롭 수준 계획 파티 나 친구 생 축하 데 막상 나 활발 팁 사이 쭈굴 댄스파티 노래 일단 마인드 망상 오지 함 말 한마디 말 해도 생각 말 한적 대다수 임 말 친구 입 소리 정도 거나 임 노래 흥 흥 절 대못 리액션 하늘 고민 관종 막상 관심 빵해 소 관심 도전 잘못 완성 한적 거의 누가 거 으쓱 자랑 박수 스킨 안고 말투 행동 애교 생각 안 행동 속 생각 함 나 남 더 배려 함 정 속 상처 성격 임 겉 속 상처 즉흥 즉흥 트루,ENFP
나 쉬 갑자기 공부 짐 봄,ENFP
엔프피 특 댓글 창 나 사람 감동 먹기,ENFP
엔프피 특 친구 트러블 하루 종일 그거 대해 생각 또 친구 우울함,ENFP
곡 맑은 하늘 풍선 둥둥 내 롤러스케이트 타고 차선 한가운데 질주 거 바로 상상 엔프피 특화 플리 제대로 방 구석,ENFP
댓글 귀가,ENFP
엔프피 때 입 꼬리 살 기분 보고 더 기분 지금 댓글 입 꼬리 보고 당신 입 꼬리,ENFP
엔프피 진짜 밖 보이 누구 인기 진짜 감정 기복 속 진짜 제 살짝 강박 낌,ENFP
평소 땐 땐 혼자 사람 진짜 거의 계속 금방 사람 사람 내 때 애가 위로 바람 나 내 사람 막 대하 사람 정말 때 진심 사람 작정 이주일 정도 진짜 티 날 정도 함 속 누군가 내 옆 생각 거나 외로 때 문제 생기 당황 해결 방법 해결 급속도 급속도 기분 내 오해 척 척 속 질투 심,ENFP
노래 댓글 수,ENFP
사람 개쥬 아함 그날 텐션 친구 숫자 비례,ENFP
나 런가 겹 진짜 주변 나 컨셉 겹 기분,ENFP
안 친구 관계 스트레스 엠비티아이 위로 유 유,ENFP
특 얘 맛 금 사빠 임 직진 타입 오해 자기 함 말 고마움 진짜 자주 말 말 오지랖 질투 함 감정 기복 날씨 기도 사실 이해 처음 애 얘기 때 더 텐션 말 함 좀 정도 말 멍 때 뭔가 그냥 친구 친 어려움 얘 걸 수도 눈물 자기 눈물 때 함 약속 시간 날때 잡음 진짜 생각 함 망상 자기 자기 일정 빼 정도 파워 긍정 내 엔프피 정말 기여 웠음 만날 옆 머리 볼 지고 정도 나 변태 기질 지도 어쨌든 면도 은근 조 마나 동물 비유 강쥐 애 꼬리 헬리콥터 수준 회전 타입 요즘 뭔가 아쉬움 다시,ENFP
다른 건 겉 전혀 척 티 안 머릿속 손절 리스트 쫘르륵 언제 손절 각 이건 진짜 때 손절,ENFP
갠 몇 개 텐션 순간 완전 다운 때 무시 정말 상상 나래 땐 누구 우울함 우울 자체 땐 아무 감당 못 함 내적 관종 인 중 중 인 상처 은근 끝 감정 기복 예 그게 바로,ENFP
엔프피 등장 초면 가능 길 친구 가능 조금 소외 선펨 조음 친구 명 손절 안함,ENFP
새벽 온 인팁 뚱이 궁둥이 박수 홀린 듯이 엔프 피 오늘 하루 수고,ENFP
특징 관심 개 사과 바로 풀림 진짜 고민 알 고민 함 눈치 그냥 눈치 척 임 금사 진심 애 진짜 친화력 진짜 짐 초면 도 그냥 말 금방 분위기 함 방법 아무 질문 던지기 말 진짜 반응 감정 기복 진짜 심 한편 임 생각 정말 상상력 더 상처 진짜 엔프피 손절 진짜 성격 임 함 친구 나 개 함 칭찬,ENFP
엔프피 사람 사람 존나 거 감동 마이 쮸 하나 애로 인식,ENFP
엥뿌삐 우리 때껄룩 영상 제목 노래 궁디 음 때껄룩 해,ENFP
상처 또 갑자기 짐 예 선생님 나 때 갑자기 칭찬 천사 혼자 혼자 풀림,ENFP
인 내 짝사랑 때 내 먼저 선펨 함 애 먼저 선펨오 진짜 애가 내 펨 때 내 뭘 잘못 말 하루 종일 생각 다른 일 직진 존나 말 존나 전화 죽음 말 애 상상 조온나 하루 종일 생각 함 예 상상 결혼 애 상상 사탕 간식 존나 죽음 그거 가지 망상 오지 함 이상 인 내 짝사랑 때 임 관심 기부 니 낭,ENFP
진짜,ENFP
엔프피들 뭔가 자신 남 더 생각 게 남 더 성격 임 겉 털털 성격 사실 상처 제일 사람 임,ENFP
특 사람 자기 시간 꼭 내 시간 내 사람,ENFP
만 혹시 내적 관 종도 관심,ENFP
정이 말로 상처 상처 척 함 내 얘기 남 얘기 나 남 기분 먼저 소리 겉 티 못내 거 소리 듣기 엔프피들 장난 칠 때 절대 선 손절 거의 이해 함 정말 친한친구 가끔 고민 상담 말 신경 내 의견 친구 의견 게 내 마음 진짜 긍정 적임 에너지 표현 감수성 감정 기복 거 별 공감 소리 진짜 은근 집 순이 독립 거 진짜 등 어쨋 엔프피 여러분 절대 게 저희 저희 생각 사람 조금 더 남 내 위주 남 존중 만큼 내 마음 더 외로워 혼자 도 우린 게 그거 사람 만 감사 인사 꼭 우리 삶 우리 방식,ENFP
헤이 님들 처음 보고 얼굴 일단 사랑 함 대가리 꽃밭 매력 너 얼마나 그냥 관종짓 재밋엉 모두 저스트 텐미닛 시간 매력 남자 덜,ENFP
상처 유튜브 보고 기분 자기 전 다시 생각 함 자칫하면 밤새 오열 수도,ENFP
생각 판 움 발표 때 나 심장 거 깉음 티 안내 함 사람 길가 사람 큰소리 하나 안 부끄러움,ENFP
거 짱 진짜 카페 케이크 행복 거기 그냥 인생 카페 길가 면서 단풍 어깨 가을 가을 요즘 날씨 어락 가락 슬슬 겨울 눈 눈사람 징,ENFP
엔프피 친구 주변 잇프피입니 제 친구 공통점 수도 잇프피 엔프피 특징 무 논리 논리 말 말 설득 세상 똥꼬 말티쥬같아 관심 더 똥꼬 짐 일 한번 집중 진짜 처리 가끔 놀람 처음 친구 친 겉 마음 확 주변 안보 앞 보고 자기 길이 확인 지름신 돈 때 포카 보이 무조건 여기저기 친구 거의 애 만 학교 밖 노 친구 학교 애 무언가 막 또 금방 걸 해 막 혼자 방 막 무언가 그게 폰 때 앱 앱 계속 은근 금 사빠 심해 자기 취향 사람 보이 진짜 금방 듯 자기 낮 제 전혀 그냥 처음 말 조금 정도 듯 텐션 진짜 보통 더 경우 엔프피 낮 가림 완전 해제 를 더 이보 더 수 더 수 화낼 때 손절칠 때 진짜 무서움 나 손 절치 식은땀 오금 저림 이상 알고리즘 음 무릅쓰 친구 생각 엔프피 특징 프,ENFP
엔프피 다른 엠비티아이 대화 때 리액션 대장 대박 의 복임 상대방 대화 때 계속 무신경 반응 완전 진심 친구 거의 빙의 수준 공감 사이 역할 분위기 풀기 위해 함 과 몰입도 에어팟 끼 음악 엔시 티 마냥 멤버 무한 확장 전임 막 갑자기 제 멤버 친구 발표 호응 박수 왕 크게 침 사람 프피 인류 애 상승 엔프피 웃음소리 개 특징 듯 누가 나 때문 만큼 세상 좆 손 마카롱 하나 인생 짐,ENFP
완전 동성 이성 얘 나 진짜 완전 감동 함 또 상대 내 말 기분 거 분 내 말 공감 기분,ENFP
인 소리 사실 생존 인 나 텐션 친화력 애 사이 쭈굴탱됨,ENFP
창 분위기,ENFP
엔프피 무조건 줄 알 인스타 친구 나 집 루저 우울함 느낌 친구 수,ENFP
거 끝 봄 안 거 시작 안 함 거 뒤 안 이어폰 진짜 위험 길 춤 경우,ENFP
우리 엥뿌삐들 소리 또 도해 나중 가면,ENFP
인 프제 엔프피 친구 옆 명 뭔가 옆 에너지 뿜뿜,ENFP
엥뿌삐 일단 사람 파워 긍정,ENFP
겉 자기 선 선 쥐 손절 임 사람 호의 엔프피 진짜 혐 사람 대부분 쓰레기 거나 인성 파탄 사람 일 가능성 부비,ENFP
댓글 재미 공감 댓글 엔프피들,ENFP
엔프피 그냥 매력 덩어리,ENFP
나 런가 내 친구 나 더 친한친구 뭔가 좀 나,ENFP
엔프피 말 주관 엔프피 성향 망상 주로 내 먼치킨 망상 음악 못 아무 걱정 거 거 걱정 함 친구 관계 걱정 은근 함 갑자기 평소 생각 안나 논리 말 울음 관련 거 발표 거 남 시선 생각 함 내 거 칭찬 상처 달달 거나 거 기분 바로 변덕 오늘 짬뽕 짜장면 중 병 일찍 옴 친구 노 방 안 폰 자기 생각 분야 자신감 한번 생각 먼치킨 물 웹소설 감성 웹소설 꽤 그냥 남 글 대부분 장르 공부 꼭 음악 온 꼭 한번 짓 함 작심삼일 사랑 우정 임 말 톡방 말 안 말 톡방 눈치 껏 낌 자신 잘못 사람 용서 검사 종류 검사 완전 은근 덕 면 애니 등굣길 자기 전 망상 필수 임 별것 함 공부 정말 과목 함 눈치 척함 미래 현재 임 수학 진도 잡덕임 유튜브 알고리즘 생존 인 친구 학교 감 말 의견 제 개인 생각 일,ENFP
팁 젤 애 중 엔프피 여울 수가 없닼 뭐 만하 거 또 이랰 무엇 수 자기 상처 런가 자기 말 이건 좀 상처 뭐 상처 낙천 타 엔프피 특유 감성 움,ENFP
인 인 금 사빠 항상 짝사랑 안 상처 뭔가 쥐 퐈하퐣,ENFP
나 런가 코로나 장점 마스크 밖 입 모양 노래 수 완전 입 쨥 소리 듯,ENFP
이따 내일 등등 계획 작성 보지 계획 세상 나름 체계 그게 끝,ENFP
엔프피 생각 정말 유형 그동안 이기 자기 중심 직설 제 주변 엔프피들 번 데 줄 꼭 여기 댓글 특징 완전 정반대 사람 제 엔프피 이미지 고정관념 놨던 생각 파이팅,ENFP
영상 인 제 정말 맘 영상 탑 진짜 격공되 댓글,ENFP
나 마음속 내 거 자부심,ENFP
지금 댓글 엔프피 특징 일단 엔프피 플리 바로 노래 씐 빵댕 바로 댓글 감 댓글 거 완저 무한 반복 공감 답글 달기 무한 공감 댓글 볼 이제 댓글 달기 시작 우어 오 엔픞 화 때껄룩 사랑 함돵 알림 엥뿌삐 수 보고 옆 사람 일단 알림 일단 광대 승천 답글 하나 하나 공감 내용 함 답글 지금 흥분 내 맘 추가 글 중 대충 수 첨 내용 엔프피 거,ENFP
최 상처 뽀뽀 손절 치,ENFP
인프핀데 인팁 스푼 첨가 사람 칭구들 내 난 너희 텐션 감당 못 해 살살,ENFP
톡방 애 답 내 뭐 생각 후회 함,ENFP
난 애 말 때 문장 때 웅 말 개 함 변애 들보 나,ENFP
해 긍정 은근 고민 외로움 피 중 인 인 중,ENFP
팁 엔프피 왜 움,ENFP
채팅 디엠 말투 현실 말투 존똑 채팅 치면 햔실,ENFP
자기 인프피인줄 향 낮 가림 좀 상처 인티제 과 몰입 함,ENFP
기분 정말 사람 안녕 한번 기분 바로 풀림 일 눈물 조금 갑자기 긍정 걸 애교 짓 노력 함 나중 사람 인정 꿈임 항상,ENFP
를 가장 내 특징 내 내 움 상대 한번 푹 상상 속 결혼 애도 김칫국 사발 드링킹 함 단 한번 일임 금 사빠 금사 테 금사 대상 만 다방면 관심 나 경우 예술 분야 글쓰기 전시회 액 티비 티 운동 과학 명상 심리 스스로 근원 질문 함 자기 객관 화가 화가 끝 절대 용서 안해 해도 상대 진심 사과 바로 사르르 녹음 자기 말 고집 절대 인정 사람 상종 불만 부정 사람과 왜 자꾸 생각 본인 마음 말 더 생각 동시 말 정리 머릿 속 정리 정신 혼자 시간 외로움 기적 사람 함 다수 만남 밀당 도대체 왜 함 모습 물욕 별로 물욕 걸 경험 데 기쁨 행복 더 감정 가끔 내 내 자신 감당 떄,ENFP
독서실 오빠 문 한번 내 머릿속 열 준 집앞 공원 산책 놀이 공원 수학 문제 풀다 헤헤 거리 모습,ENFP
얘 엔프피 티 남 우쭈쭈 그거 방이 입술 빨 우리 엔프피들 사랑,ENFP
혼자 시간 혼자 시간 후회 반성 자아 성찰 후 계획 시간 끈기 곧 외로워 짐 친구 명 연락 시작 함 혼자 시간 거리 면서 연락 기다림 친구 연락 막 방출 대화 함 반나절 정도 명 계속 연락 점점 지침 혼자 짐 연락 마무리 다시 혼자 시간 함 무한 반복,ENFP
인뎅 감성 욤,ENFP
엔프피 눈치 편이 상대 무슨 말 상처 알 평소 말 안 생각 편임 내 좀 애정 정말 상처 게 말 안 데 정 정 땐 걔 상처 만 말 함 엔프피 임,ENFP
연애 때 특 콩깍지 씌였다 거 한순간 썸탈때 고백 갑자기 식음 내 솔 이유,ENFP
인생 드립 임 상황 정도 드립 괜쟈 하해 드립,ENFP
아침 점심 저녁 해질녘 새벽 순간 공기 냄새 노래 노래 시작 세상 주인공 나,ENFP
솔지 키 엔프피 집 한번 내 아이돌 인척 거실 곧 고척돔 콘서트 내 무대 인척 과 몰입 본적 나,ENFP
사실 친구 전혀 친구 완전 돌아이 친구 처음 때 앤줄 말함 나 말 은애 조금 때 가끔 관심 안주 함 상대방 바로 정신 차려 걔 톡 질투 친구 나 짓 속 감정 상처 친구 가끔 혼자 관심 막상 관심 좀 함,ENFP
여동생 언니 머릿속 꽃밭 말 정말 생각 함 그냥 혈육 진짜 왜 살 생각 머릿속 수십 번은 함 그냥 가습기 물 꽉 이틀 수 꽉 해도 절반 진짜 한번 아닝 성격 관련 언니 언니 절 뽀뽀 궁디 제 언니 언니 본인 제 혈육 점 장점 꼭,ENFP
두부 멘탈 인프피,ENFP
끼리 인 갑자기 소 감정 기복 누군가,ENFP
발 말 천리 간다 말 조심 뜻 못 달리,ENFP
댓글 진짜 최고 제 마음 엔프피 정말 플리 또 엔프피 노래 때껄룩님 사랑,ENFP
사람 텐션 더 사람 감정 기복 개심 함 랄랄 거리 다가 갑자기 다운 금방 랄랄 다운 거 반복,ENFP
엔프피 정말 그냥 망상 걔 나 조금 선톡 망상 공감 정말 긍정 공감 갑자기 연락 안 질투 자주 부담 눈치 자주 앞 척 사실 뒤 감성 타요 이건 엔프피 의견,ENFP
엔프피들 사랑 우리 때 날 당신 개그맨 수 구래 사랑,ENFP
사람 친구 놀때 자기 먼저 연락 안함 한번 정말 생각 함 온라인 사람 한번 무언가 면 함 그냥 친화력 속 조금 말,ENFP
어물 한번 여기 분위기 댓글 뭔가 마음 정화 느낌 진짜 어 엔포 피,ENFP
엔프피 제목 걸음,ENFP
인간 댕댕 머릿속 꽃밭 리액션 사람 스킨 대화 내용 휙휙 아이디어 폭발 남 관심 말 거의 얼굴 처음 사람 도 금방 낯 친화력 발표 관종 감수성 풍부 거 천재 건 지지리 흥 애교 불쑥 불쑥 나타남 머리 이픈거 긍정 경우 날 누구 하나 울 누군가 남 남 슬픔 울 함 긍정 만큼 부정 노래 플레이 리스트 노래 일 생기 하루 종일 일 잠식 기분 때 절대 안 어두움 상처 정말 의미 말 의미 눈치 봄 생각 정말 함 실수 두려움 누군가 가장 두려움 남 말 만들기 함 알 어두움 자신 곁 혼자 때 행복 무표정 때 가끔 우울 자존감 바닥 자책 친구 내 정말 때 사람 친구 가끔 나 일상 웃기 자책 해 내 동경 뿐 지금 정말 낯 그것 채 더 뿐 눈치 척 우리 진짜 때 시간 더 속 상처 생각 마음속 손절 말 생각 진짜 때 반응 가지 임 썅욕 거나 정색 경멸 면 대면 아예,ENFP
사람 함 꼭 함 감정 기복 밖 친구 나 혼자 시간 말 사람 기회 보고 사탕 주거 편지 뭐 식 호감 표시 바로 사람 계획 하나 안 지킴 난 생각 나 건가 나 진짜,ENFP
곧 엔프피 친구 생일 편지 거 인프피,ENFP
일상 브이 로그 모든 조차 심지어 나 도 관심 혼자 때 계속 중얼 거리 방금 말 웃기 혼자 함,ENFP
